ProteinId	UVM4_1	UVM4_2	UVM4_3	Stop1_1	Stop1_2	Stop1_3	Stop12_1	Stop12_2	Stop12_3	HA5_1	HA5_2	HA5_3	HA11_1	HA11_2	HA11_3	Synonyms
Cre17.g742500.t1.1	0.0322172977436683						0.0124710308349102							0.0262609447393894	0.00210764340901977	
Cre02.g075700.t1.2	0.710989410526127	0.76564689706366	1.06608045862082	0.781915395573886	0.883834087722425	0.893409164456521	1.06579218269604	0.672746015034038	0.712464191420918	0.702077161388644	1.04007323658245	0.854256302546495	1.29416548348186	0.706196069686056	1.0810660421666	RPL19
Cre02.g097400.t1.2	0.404341768644122	0.30605586545682	0.479344237260907	0.311246024124656	0.271501996063974	0.341578413098602	0.418721341698389	0.306068850378226	0.335797238271099	0.355160591292701	0.365688823319543	0.338174407726716	0.359260251985528	0.29166773203015	0.346883095146151	EIF5A
Cre13.g571876.t1.1	0.0275819896529609															
Cre12.g531550.t1.2	0.115058040634674	0.134468793863311	0.099005795691125	0.118811957301993	0.11432463071272	0.1198879478803	0.108334624473391	0.113087038468571	0.134052922207646	0.119993383136017	0.140348641825739	0.154499072070243	0.159632843804819	0.142534360588567	0.125466377644543	EIF5B3
Cre09.g397697.t1.1	1.77740373416054	1.6870863760559	1.60694136468275	1.862947079238	1.80875756133947	2.19994737975691	1.62822646144373	1.79719312717725	1.86403525700078	2.00107042281779	2.01850654205579	1.87098933056013	1.85748748668096	1.8760763422404	1.68865771314097	RPL4
Cre01.g021251.t1.1	0.770008635947671	0.848417297710641	0.797399141363969	0.898471022346651	0.949006156830846	0.937758227439686	0.736994105499437	0.775951114058402	0.791216113875726	0.82906805207242	0.85814987613877	0.818771795993001	0.805893688926757	0.790206723677936	0.768987466300017	ARG7
Cre12.g494050.t1.2	1.15111612494152	1.12246232761928	1.09450918576607	1.20571807304511	1.25945520993943	1.22340598037349	1.1021501487184	1.09601720496534	1.1076988737118	1.16431107521702	1.17433559718398	1.10447347434582	1.11266512022616	1.05061347996137	1.11586629926495	RPL9
Cre-1.g2716993.t1.p1	0.0193643230918993	0.010429174766296	0.0278226152359629	0.0170952970431557	0.0139926364438889	0.0340407544047773	0.0316653374923079	0.0145229223424198	0.0209587550473004	0.00997742286769296	0.0189368352577221	0.0361869272940758	0.040249993682905	0.0123708040467257	0.0297585204303148	rpoB-1
Cre01.g027000.t1.2	1.72618493175126	1.52120582341255	1.66847608136324	1.72069089529258	1.96873783156013	0.98292272006551	1.30000523170471	1.46122485229915	1.36272553291575	1.63728360181689	1.6430524793816	1.57533661628171	1.99941005325522	1.70279699813798	1.61130942819055	RPL11
