prot_ID	Abund_amolpercell
A0A2K3E6H6	0.0162485612056587
A0A2K3E6I3	0.00786711296191957
A0A2K3E6J3	0.0677439503198526
A8HQA9	0.0142152025706172
A0A2K3E6J9	0.0417016342775572
A0A2K3E6J5	1.36163600515365
A8HQC2	0.0122575763416503
A0A2K3E6K2	0.706205534041609
A8HQC6	0.0552792808868863
A0A2K3E6J6	0.0240238749725051
A0A2K3E6L6	0.0724224683966708
Q5S7Y5	0.0813192609960834
A0A2K3E6L0	0.0956290735610869
A0A2K3E6M5	0.0150317861743104
A0A2K3E6M1	0.017093047597841
A0A2K3E6N4	0.0238375472540184
A0A2K3E6L7	0.165820880408265
A8HQG3	0.0240608281669861
A8HQG8	0.0205450128347264
A8HQG9	0.0125026282165673
A0A2K3E6Q3	0.0195970224423494
A0A2K3E6P1	0.0148426242254153
A8HQI6	0.0875217158581782
A8HQJ0	0.00834795500770034
A8HQJ4	0.0349437956294141
A0A2K3E6S5	0.101939809688787
A8HQJ8	0.0212722427957539
A0A2K3E6U5	0.00523299057652439
A0A2K3E6S2	0.045680510101796
Q39568	0.192248101794071
A0A2K3E6T0	0.0909062705593995
A0A2K3E6U0	0.0162094853728792
A0A2K3E6V1	0.102303851002764
A8HQP1	0.0320700904021517
A8HQP3	0.0222527472519833
A0A2K3E6W5	0.0207257748597801
A8HQS2	0.0248319877877264
A8HQT1	0.0662694391431846
A0A2K3E702	0.0260263910188837
A0A2K3E6X1	0.00931832749308018
A0A2K3E6Z7	0.00357757980007191
A0A2K3E6Y0	0.156008200924724
A0A2K3E6Y7	0.0160736386303377
A0A2K3E742	0.0370161359872103
A0A2K3E754	0.0139967060243023
A0A2K3E700	0.0164755253070668
A0A2K3E708	0.0426793222714326
A0A2K3E722	0.0252536121102632
A0A2K3E787	0.0203858719323852
A0A2K3E796	0.0446925397892403
A0A2K3E738	0.0826176175292895
A0A2K3E750	0.0327594111435209
A0A2K3E769	0.0274264429252303
A8HMA7	0.0113064366209144
A0A2K3E776	0.201965532317937
A0A2K3E768	0.0295875434953994
A0A2K3E765	0.0867901602583074
A8HMC0	0.122592904247223
A0A2K3E780	0.0322347967653504
A0A2K3E781	0.0439990151856163
A0A2K3E791	0.0674205868270887
A0A2K3E798	0.0260061773776133
A0A2K3E794	0.333632831160113
A0A2K3E7A5	0.160471818007004
A0A2K3E7B7	0.0110827649969266
A0A2K3E7E9	0.0041008154672062
A0A2K3E7B6	0.0301297026244996
A8HMG7	0.185009196184364
A0A2K3E7D4	0.244436393028499
A0A2K3E7E8	0.0422468192824176
A8HMM7	0.265900793419596
